Date : 2024-05-18 20:01:40
Directory : /home/bond/Desktop/darkpatterncombined/agents/skyvern
Total : 238 files,  32309 codes, 780 comments, 3758 blanks, all 36847 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/api/types.ts                                                         | TypeScript         |         94 |          0 |         10 |        104 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/Logo.tsx                                                  | TypeScript JSX     |          5 |          0 |          2 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/StatusBadge.tsx                                           | TypeScript JSX     |         17 |          0 |          5 |         22 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ThemeProvider.tsx                                         | TypeScript JSX     |         37 |          0 |          9 |         46 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ThemeSwitch.tsx                                           | TypeScript JSX     |         35 |          0 |          5 |         40 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ZoomableImage.tsx                                         | TypeScript JSX     |         13 |          0 |          4 |         17 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/themeProviderContext.ts                                   | TypeScript         |         12 |          0 |          5 |         17 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/accordion.tsx                                          | TypeScript JSX     |         49 |          0 |          7 |         56 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/aspect-ratio.tsx                                       | TypeScript JSX     |          3 |          0 |          3 |          6 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/badge-variants.ts                                      | TypeScript         |         25 |          0 |          3 |         28 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/badge.tsx                                              | TypeScript JSX     |         13 |          0 |          5 |         18 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/button-variants.ts                                     | TypeScript         |         31 |          0 |          3 |         34 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/button.tsx                                             | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/card.tsx                                               | TypeScript JSX     |         75 |          0 |          9 |         84 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/carousel.tsx                                           | TypeScript JSX     |        231 |          0 |         30 |        261 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/dialog.tsx                                             | TypeScript JSX     |        108 |          0 |         13 |        121 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/dropdown-menu.tsx                                      | TypeScript JSX     |        186 |          0 |         18 |        204 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/form.tsx                                               | TypeScript JSX     |        123 |          0 |         16 |        139 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/hidden-copyable-input.tsx                              | TypeScript JSX     |         39 |          0 |          6 |         45 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/input.tsx                                              | TypeScript JSX     |         21 |          0 |          5 |         26 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/label.tsx                                              | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/pagination.tsx                                         | TypeScript JSX     |        112 |          0 |         11 |        123 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/radio-group.tsx                                        | TypeScript JSX     |         38 |          0 |          5 |         43 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/select.tsx                                             | TypeScript JSX     |        150 |          0 |         13 |        163 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/separator.tsx                                          | TypeScript JSX     |         26 |          0 |          4 |         30 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/skeleton.tsx                                           | TypeScript JSX     |         13 |          0 |          3 |         16 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/table.tsx                                              | TypeScript JSX     |        110 |          0 |         11 |        121 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/tabs.tsx                                               | TypeScript JSX     |         47 |          0 |          7 |         54 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/textarea.tsx                                           | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/toast.tsx                                              | TypeScript JSX     |        115 |          0 |         13 |        128 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/toaster.tsx                                            | TypeScript JSX     |         31 |          0 |          3 |         34 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/tooltip.tsx                                            | TypeScript JSX     |         22 |          0 |          7 |         29 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/use-form-field.ts                                      | TypeScript         |         36 |          0 |         11 |         47 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/ui/use-toast.ts                                           | TypeScript         |        156 |          3 |         31 |        190 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/useTheme.ts                                               | TypeScript         |          8 |          0 |          4 |         12 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/components/useThemeAsDarkOrLight.ts                                  | TypeScript         |         11 |          0 |          5 |         16 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/hooks/useApiCredential.ts                                            | TypeScript         |         33 |          0 |          7 |         40 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/hooks/useCredentialGetter.ts                                         | TypeScript         |          7 |          0 |          3 |         10 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/index.css                                                            | CSS                |        157 |          0 |         23 |        180 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/main.tsx                                                             | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/router.tsx                                                           | TypeScript JSX     |         49 |          0 |          3 |         52 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/root/Profile.tsx                                              | TypeScript JSX     |         21 |          0 |          4 |         25 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/root/RootLayout.tsx                                           | TypeScript JSX     |         55 |          0 |          4 |         59 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/root/SideNav.tsx                                              | TypeScript JSX     |         56 |          0 |          3 |         59 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/settings/Settings.tsx                                         | TypeScript JSX     |         59 |          0 |          4 |         63 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/settings/SettingsPageLayout.tsx                               | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/TasksPageLayout.tsx                                     | TypeScript JSX     |         11 |          0 |          3 |         14 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/constants.ts                                            | TypeScript         |          1 |          0 |          1 |          2 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/create/CreateNewTask.tsx                                | TypeScript JSX     |         64 |          0 |          4 |         68 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/create/CreateNewTaskForm.tsx                            | TypeScript JSX     |        316 |          0 |         11 |        327 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/data/descriptionHelperContent.ts                        | TypeScript         |         12 |          0 |          6 |         18 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/data/sampleTaskData.ts                                  | TypeScript         |        277 |          0 |          6 |        283 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/JSONArtifact.tsx                                 | TypeScript JSX     |         42 |          0 |          6 |         48 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/StepArtifacts.tsx                                | TypeScript JSX     |        165 |          0 |         12 |        177 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/StepArtifactsLayout.tsx                          | TypeScript JSX     |         49 |          0 |          8 |         57 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/StepInfo.tsx                                     | TypeScript JSX     |         39 |          0 |          4 |         43 |
